filename	token	correction	error_type	gold_label
doc2894.xml	Love			c
				
doc3162.xml	Dear			c
doc3162.xml	Sir			c
doc3162.xml	/			c
doc3162.xml	Madam			c
doc3162.xml	,			c
				
doc1571.xml	Dear			c
doc1571.xml	Sir			c
doc1571.xml	/			c
doc1571.xml	Madam			c
doc1571.xml	,			c
				
doc389.xml	Dear			c
doc389.xml	Sir			c
doc389.xml	/			c
doc389.xml	Madam			c
doc389.xml	,			c
				
doc1223.xml	Dear			c
doc1223.xml	Sir			c
doc1223.xml	/			c
doc1223.xml	Madam			c
doc1223.xml	,			c
				
doc2723.xml	Dear			c
doc2723.xml	Sir			c
doc2723.xml	/			c
doc2723.xml	Madam			c
doc2723.xml	,			c
				
doc625.xml	Dear			c
doc625.xml	Sir			c
doc625.xml	/			c
doc625.xml	Madam			c
doc625.xml	,			c
				
doc1962.xml	Dear			c
doc1962.xml	Sir			c
doc1962.xml	/			c
doc1962.xml	Madam			c
doc1962.xml	,			c
				
doc3162.xml	Yours			i
doc3162.xml	faithfully			i
doc3162.xml	,			c
				
doc1293.xml	Yours			c
doc1293.xml	faithfully	sincerely	RY	c
doc1293.xml	,			c
				
doc217.xml	Yours			c
doc217.xml	faithfully	sincerely	RY	c
doc217.xml	,			c
				
doc2667.xml	Yours			c
doc2667.xml	faithfully	sincerely	RY	c
doc2667.xml	,			c
				
doc1284.xml	Yours			c
doc1284.xml	faithfully	sincerely	RY	c
doc1284.xml	,			c
				
doc1018.xml	Yours			c
doc1018.xml	faithfully	sincerely	RY	c
doc1018.xml	,			c
				
doc2263.xml	Yours			c
doc2263.xml	faithfully	sincerely	RY	c
doc2263.xml	,			c
				
doc819.xml	Yours			c
doc819.xml	faithfully			c
doc819.xml	,			c
				
doc1813.xml	Yours			c
doc1813.xml	faithfully			c
doc1813.xml	,			c
				
doc1571.xml	Yours			c
doc1571.xml	faithfully			c
doc1571.xml	,			c
				
doc1031.xml	Yours			c
doc1031.xml	faithfully			i
doc1031.xml	,			c
				
doc1114.xml	Yours			c
doc1114.xml	faithfully			c
doc1114.xml	,			c
				
doc1716.xml	Yours			c
doc1716.xml	faithfully			c
doc1716.xml	,			c
				
doc985.xml	Yours			c
doc985.xml	faithfully			c
doc985.xml	,			c
				
doc1049.xml	Yours			c
doc1049.xml	faithfully			c
doc1049.xml	,			c
				
doc579.xml	Dear			c
doc579.xml	Mr			c
doc579.xml	Robertson			c
doc579.xml	,			c
				
doc501.xml	Dear			c
doc501.xml	Mr			c
doc501.xml	Robertson			c
doc501.xml	,			c
				
doc2141.xml	Dear			c
doc2141.xml	Mr			c
doc2141.xml	Robertson			c
doc2141.xml	,			c
				
doc992.xml	Dear			c
doc992.xml	Mr			c
doc992.xml	Robertson			c
doc992.xml	,			c
				
doc579.xml	Yours			c
doc579.xml	faithfully	sincerely	RY	c
				
doc2280.xml	Yours			c
doc2280.xml	faithfully	sincerely	RY	i
				
doc1959.xml	Yours			c
doc1959.xml	faithfully	sincerely	RY	i
				
doc1225.xml	Yours			c
doc1225.xml	faithfully			i
				
doc443.xml	Yours			c
doc443.xml	faithfully	sincerely	RY	c
				
doc541.xml	Yours			c
doc541.xml	faithfully			c
				
doc236.xml	Yours			c
doc236.xml	faithfully	sincerely	RY	i
				
doc2302.xml	Yours			c
doc2302.xml	faithfully	sincerely	RY	c
				
doc871.xml	Yours			c
doc871.xml	faithfully			c
				
doc1189.xml	Yours			c
doc1189.xml	faithfully			c
				
doc1295.xml	Dear			c
doc1295.xml	Mr			c
doc1295.xml	Robertson			c
				
doc1295.xml	I			c
doc1295.xml	am			c
doc1295.xml	looking			c
doc1295.xml	forward			c
doc1295.xml	to			c
doc1295.xml	hearing			c
doc1295.xml	from			c
doc1295.xml	you			c
