filename	learner	TH1	TH1Diff	TH2	TH2Diff	markable_scheme	gold_label	predictions
1385_0000013.exb	Puoi	Puoi					c	c
1385_0000013.exb	dirmi	dirmi					c	c
1385_0000013.exb	dove	dove					c	c
1385_0000013.exb	lavori	lavori					c	c
1385_0000013.exb	adesso	adesso					c	c
1385_0000013.exb	e	e					c	c
1385_0000013.exb	che	che					c	c
1385_0000013.exb	tipo	tipo					c	c
1385_0000013.exb	di	di					c	c
1385_0000013.exb	lavoro	lavoro					c	c
1385_0000013.exb	ti	ti					c	c
1385_0000013.exb	piaccerebbe	piacerebbe	CHA			O_Graph	i	c
1385_0000013.exb	?	?					c	c
								
1395_0001067.exb	Tutti	Tutti		Tutti			c	c
1395_0001067.exb	della	nella	CHA	nella	CHA	G_Prep	i	i
1395_0001067.exb	mia	mia		mia			c	c
1395_0001067.exb	famiglia	famiglia		famiglia			c	c
1395_0001067.exb	stanno	stanno		stanno			c	c
1395_0001067.exb	benissimo	benissimo		benissimo			c	c
1395_0001067.exb	.	.		.			c	c
								
1385_0000123.exb	Vorrei	Vorrei					c	c
1385_0000123.exb	aiutarti	aiutarti					c	c
1385_0000123.exb	,	,					c	c
1385_0000123.exb	ma	ma					c	c
1385_0000123.exb	ho	ho					c	c
1385_0000123.exb	bisogno	bisogno					c	c
1385_0000123.exb	di	di					c	c
1385_0000123.exb	qualche	qualche					c	c
1385_0000123.exb	informazione	informazione					c	c
1385_0000123.exb	in	in					c	c
1385_0000123.exb	più	più					c	c
1385_0000123.exb	.	.					c	c
								
1385_0001161.exb	Vorrei	Vorrei					c	c
1385_0001161.exb	aiutarti	aiutarti					c	c
1385_0001161.exb	,	,					c	c
1385_0001161.exb	ma	ma					c	c
1385_0001161.exb	ho	ho					c	c
1385_0001161.exb	bisogno	bisogno					c	c
1385_0001161.exb	di	di					c	c
1385_0001161.exb	qualche	qualche					c	c
1385_0001161.exb	informazione	informazione					c	c
1385_0001161.exb	in	in					c	c
1385_0001161.exb	più	più					c	c
1385_0001161.exb	.	.					c	c
								
1385_0000043.exb	Vorrei	Vorrei					c	c
1385_0000043.exb	aiutarti	aiutarti					c	c
1385_0000043.exb	,	,					c	c
1385_0000043.exb	ma	ma					c	c
1385_0000043.exb	ho	ho					c	c
1385_0000043.exb	bisogno	bisogno					c	c
1385_0000043.exb	di	di					c	c
1385_0000043.exb	qualche	qualche					c	c
1385_0000043.exb	informazione	informazione					c	c
1385_0000043.exb	in	in					c	c
1385_0000043.exb	più	più					c	c
1385_0000043.exb	.	.					c	c
								
1385_0000038.exb	Vorrei	Vorrei					c	c
1385_0000038.exb	aiutarti	aiutarti					c	c
1385_0000038.exb	,	,					c	c
1385_0000038.exb	ma	ma					c	c
1385_0000038.exb	ho	ho					c	c
1385_0000038.exb	bisogno	bisogno					c	c
1385_0000038.exb	di	di					c	c
1385_0000038.exb	qualche	qualche					c	c
1385_0000038.exb	informazione	informazione					c	c
1385_0000038.exb	in	in					c	c
1385_0000038.exb	più	più					c	c
1385_0000038.exb	.	.					c	c
								
1385_0001155.exb	Puoi	Puoi					c	c
1385_0001155.exb	dirmi	dirmi					c	c
1385_0001155.exb	dove	dove					c	c
1385_0001155.exb	lavori	lavori					c	c
1385_0001155.exb	adesso	adesso					c	c
1385_0001155.exb	?	?					c	c
								
1325_1001126.exb	Marco	Marco					c	c
1325_1001126.exb	Ponti	Ponti					c	c
1325_1001126.exb	via	via					c	c
1325_1001126.exb	Ponte	Ponte					c	c
1325_1001126.exb	Vecchio	Vecchio					c	c
1325_1001126.exb	118	118					c	c
1325_1001126.exb	Palermo	Palermo					c	c
1325_1001126.exb	Settimana	Settimana					c	c
1325_1001126.exb	Giovani	Giovani					c	c
1325_1001126.exb	via	via					c	c
1325_1001126.exb	Crispi	Crispi					c	c
1325_1001126.exb	,	,					c	c
1325_1001126.exb	119	119					c	c
1325_1001126.exb	,	,					c	c
1325_1001126.exb	8017	8017					c	c
1325_1001126.exb	Caserta	Caserta					c	c
1325_1001126.exb	Caro	Caro					c	c
1325_1001126.exb	Giorgio	Giorgio					c	c
1325_1001126.exb	,	,					c	c
1325_1001126.exb	ho	ho					c	c
1325_1001126.exb	ricevuto	ricevuto					c	c
1325_1001126.exb	la	la					c	c
1325_1001126.exb	tua	tua					c	c
1325_1001126.exb	lettera	lettera					c	c
1325_1001126.exb	e	e					c	c
1325_1001126.exb	penso	penso					c	c
1325_1001126.exb	che	che					c	c
1325_1001126.exb	la	il	CHA				i	i
1325_1001126.exb	tua	tuo	CHA				i	c
1325_1001126.exb	problema	problema					c	c
1325_1001126.exb	andava	andava					c	c
1325_1001126.exb	sul	sul					c	c
1325_1001126.exb	serio	serio					c	c
1325_1001126.exb	,	,					c	c
1325_1001126.exb	dunque	dunque					c	c
1325_1001126.exb	io	io					c	c
1325_1001126.exb	darò	darò					c	c
1325_1001126.exb	una	una					c	c
1325_1001126.exb	mano	mano					c	c
1325_1001126.exb	.	.					c	c
								
1365_0100287.exb	caro	caro					c	c
1365_0100287.exb	Stefano	Stefano					c	c
1365_0100287.exb	!	,	CHA			O_Punct	c	c
								
1385_0001154.exb	Caro	Caro					c	c
1385_0001154.exb	Michele	Michele					c	c
1385_0001154.exb	,	,					c	c
1385_0001154.exb	grazie	grazie					c	c
1385_0001154.exb	per	per					c	c
1385_0001154.exb	la	la					c	c
1385_0001154.exb	tua	tua					c	c
1385_0001154.exb	email	email					c	c
1385_0001154.exb	.	.					c	c
								
1385_0001733.exb	Caro	Caro					c	c
1385_0001733.exb	Michele	Michele					c	c
1385_0001733.exb	,	,					c	c
1385_0001733.exb	grazie	grazie					c	c
1385_0001733.exb	per	per					c	c
