filename	token	correction	error_type	gold_label	predictions
doc2894.xml	Love			c	c

doc3162.xml	Dear			c	c
doc3162.xml	Sir			c	c
doc3162.xml	/			c	c
doc3162.xml	Madam			c	c
doc3162.xml	,			c	c

doc1571.xml	Dear			c	c
doc1571.xml	Sir			c	c
doc1571.xml	/			c	c
doc1571.xml	Madam			c	c
doc1571.xml	,			c	c

doc389.xml	Dear			c	c
doc389.xml	Sir			c	c
doc389.xml	/			c	c
doc389.xml	Madam			c	c
doc389.xml	,			c	c

doc1223.xml	Dear			c	c
doc1223.xml	Sir			c	c
doc1223.xml	/			c	c
doc1223.xml	Madam			c	c
doc1223.xml	,			c	c

doc2723.xml	Dear			c	c
doc2723.xml	Sir			c	c
doc2723.xml	/			c	c
doc2723.xml	Madam			c	c
doc2723.xml	,			c	c

doc625.xml	Dear			c	c
doc625.xml	Sir			c	c
doc625.xml	/			c	c
doc625.xml	Madam			c	c
doc625.xml	,			c	c

doc1962.xml	Dear			c	c
doc1962.xml	Sir			c	c
doc1962.xml	/			c	c
doc1962.xml	Madam			c	c
doc1962.xml	,			c	c

doc3162.xml	Yours			i	c
doc3162.xml	faithfully			i	c
doc3162.xml	,			c	c

doc1293.xml	Yours			c	c
doc1293.xml	faithfully	sincerely	RY	c	c
doc1293.xml	,			c	c

doc217.xml	Yours			c	c
doc217.xml	faithfully	sincerely	RY	c	c
doc217.xml	,			c	c

doc2667.xml	Yours			c	c
doc2667.xml	faithfully	sincerely	RY	c	c
doc2667.xml	,			c	c

doc1284.xml	Yours			c	c
doc1284.xml	faithfully	sincerely	RY	c	c
doc1284.xml	,			c	c

doc1018.xml	Yours			c	c
doc1018.xml	faithfully	sincerely	RY	c	c
doc1018.xml	,			c	c

doc2263.xml	Yours			c	c
doc2263.xml	faithfully	sincerely	RY	c	c
doc2263.xml	,			c	c

doc819.xml	Yours			c	c
doc819.xml	faithfully			c	c
doc819.xml	,			c	c

doc1813.xml	Yours			c	c
doc1813.xml	faithfully			c	c
doc1813.xml	,			c	c

doc1571.xml	Yours			c	c
doc1571.xml	faithfully			c	c
doc1571.xml	,			c	c

doc1031.xml	Yours			c	c
doc1031.xml	faithfully			i	c
doc1031.xml	,			c	c

doc1114.xml	Yours			c	c
doc1114.xml	faithfully			c	c
doc1114.xml	,			c	c

doc1716.xml	Yours			c	c
