error_type	sentence	classification	generated senteces	gnerated sentences eval			
FP	Ciao Caro , come stai ?	miscl. in multiged	Ciao caro, come stai?	fully	122		200
			Ciao cara, come stai?	divergent	6		
			Ciao caro, come stai?	fully	51		
			Ciao caro, come stai.	divergent	21		
			Ciao caro, come stai.	divergent	0		
FP	Tanto non bisognò di prenotare un alloggio .	plausible	Tanto non bisogna prenotare un alloggio .	fully			
			Tanto non fu necessario prenotare un alloggio .	divergent			
			Tanto non si dovette prenotare un alloggio .	divergent			
			Tanto non era necessario prenotare un alloggio .	divergent			
			Tanto non bisognò prenotare un alloggio .	fully			
FP	La mia esperienza lavorativa questi .	plausible	La mia esperienza lavorativa è questa .	fully			
FP	Vorrei presentarmi in breve e darVi alcuni informazioni sulla mia persona .	wrong	Vorrei presentarmi in breve e darvi alcuni informazioni sulla mia persona.	no modification			
			Vorrei presentarmi brevemente e darvi alcune informazioni sulla mia persona.	partially			
			Vorrei presentarmi in modo conciso e darvi alcuni dettagli sulla mia persona.	divergent			
			Vorrei presentarmi rapidamente e darvi some information about myself.	divergent			
			Vorrei presentarmi e darvi alcune informazioni sulla mia persona.	divergent			
FP	Forse ti piaci ?	plausible	Forse ti piace ?	divergent			
			Forse ti piacciono?	divergent			
			Forse ti piaci da?	divergent			
			Forse ti piacendo?	divergent			
			Forse ti piaciuto?	divergent			
FP	Secondo me l' amizicia virtuale sia possibile solo in alcune parte .	wrong	Secondo me l'amicizia virtuale sia possibile solo in alcune parti .	partially			
			Secondo me l'amicizia virtuale sia possibile solo in alcune parti .	partially			
			Secondo me l'amicizia virtuale è possibile solo in alcune parti .	fully			
			Secondo me l'amizienza virtuale sia possibile solo in alcune parti .	divergent			
			Secondo me l' amizie virtuale sia possibile solo in alcune parti .	divergent			
FP	Non mi piace tanto , perché i nostri clienti non sono tanto gentile sai ...	plausible	Non mi piace tanto, perché i nostri clienti non sono molto gentili sai ...	partially			
			Non mi piace tanto perché i nostri clienti non sono gentili abbastanza sai ...	divergent			
			Non mi piace tanto perché i nostri clienti non sono molto gentili sai ...	partially			
			Non mi piace tanto perché i nostri clienti non sono tanto gentili sai ...	fully			
			Non mi piace tanto perché i nostri clienti non sono così gentili sai ...	divergent			
FP	Dopo l' esame di maturità vorrei trasferirmi a Roma così è necessario che possa parlare in italiano .	plausible	Dopo l'esame di maturità vorrei trasferirmi a Roma, quindi è necessario che possa parlare in italiano .	divergent			
			Dopo l'esame di maturità vorrei trasferirmi a Roma; è necessario che possa parlare in italiano .	divergent			
			Dopo l'esame di maturità vorrei trasferirmi a Roma perché è necessario che possa parlare in italiano .	divergent			
			Dopo l'esame di maturità, quando vorrei trasferirmi a Roma, è necessario che possa parlare in italiano .	divergent			
			Dopo l'esame di maturità vorrei solo trasferirmi a Roma; è necessario che possa parlare in italiano .	divergent			
FP	"Ho letto il vostro annuncio delle """""""" Serate di cucina internazionale """""""" e devo dire , che lo è stato molto interessante per me ."	plausible	"Ho letto il vostro annuncio delle ""Serate di cucina internazionale"" e devo dire che è stato molto interessante per me."	fully			
			"Ho letto il vostro annuncio sulle ""Serate di cucina internazionale"" e devo dire che lo è stato molto interessante per me."	divergent			
			"Ho letto il vostro annuncio sulle ""Serate di cucina internazionale"" e devo dire che è stato molto interessante per me."	divergent			
			"Ho letto il vostro annuncio delle ""Serate di cucina internazionale"" e devo dire che lo è stato molto interessante per me."	no modification			
			"Ho letto il vostro annuncio sulle ""Serate di cucina internazionale"" e devo dire che lo è stato molto interessante per me."	divergent			
FP	Infatti , questo è in intenzione per iscrivermi al primo ciclo .	wrong	Infatti, questo è in intenzione per iscrivermi al primo ciclo.	no modification			
			Infatti, questo è inteso per iscrivermi al primo ciclo.	divergent			
			Infatti, questo è in intenzione per iscriverti al primo ciclo.	divergent			
			Infatti, questo è in intenzione per iscriversi al primo ciclo.	divergent			
			Infatti, questo è in intenzione per iscriversi al primo anno.	divergent			
FP	27-03-2010 Città X Cara Roberta , Non ho visto te da molto tempo .	wrong	27-03-2010 Città X Cara Roberta , Non ho visto te da molto tempo .	fully			
			27-03-2010 Città X Cara Roberta , Non ho visto te da un po' .	divergent			
			27-03-2010 Città X Cara Roberta , Non ti ho visto da molto tempo .	fully			
			27-03-2010 Città X Cara Roberta , Non ti ho visto da un po' .	divergent			
			27-03-2010 Città X Cara Roberta , Ho non visto te da molto tempo .	divergent			
FP	Non abbiamo dei gravi problemi come la famina .	miscl. in multiged	Non abbiamo gravi problemi come la fame .	fully			
			Non ci sono dei gravi problemi come la famina .	divergent			
			Non abbiamo gravi problemi come la carestia .	fully			
			Non abbiamo gravi problemi simili alla famina .	divergent			
			Non abbiamo problemi gravi come la fame .	fully			
FP	Ma come faccio per andare a Casa tua ?	wrong	Ma come faccio a fare per andare a casa tua ?	divergent			
			Ma come faccio a tornare a casa tua ?	divergent			
			Ma come faccio ad andare a casa tua ?	fully			
			Ma come faccio a raggiungere casa tua ?	divergent			
FP	Città X , 13 agosto 2011 Caro Francesco , grazie la tua lettera , l' ho aspettata molto !	wrong	Città X , 13 agosto 2011 Caro Francesco , grazie per la tua lettera , l' ho aspettata molto !	fully			
			Città X , 13 agosto 2011 Caro Francesco , grazie della tua lettera , l' ho aspettata molto !	fully			
			Città X , 13 agosto 2011 Caro Francesco , ringraziando per la tua lettera , l' ho aspettata molto !	divergent			
			Città X , 13 agosto 2011 Caro Francesco , grazie per aver ricevuto la tua lettera , l' ho aspettata molto !	divergent			
			Città X , 13 agosto 2011 Caro Francesco , grazie per la tua lettera , aspettandola molto !	divergent			
FP	Prima , vorrei presentarmi : Mi chiamo Maria Rossi e ho 19 anni .	wrong	Prima, vorrei presentarmi: Mi chiamo Maria Rossi e ho 19 anni.	no modification			
			Prima; vorrei presentarmi: Mi chiamo Maria Rossi e ne ho 19.	divergent			
			Prima; vorrei presentarmi: Chiamami Maria Rossi e ho 19 anni.	divergent			
			Prima; vorrei presentarmi: Mi chiamo Maria Rossi ed ho 19 anni.	divergent			
			Prima; vorrei presentarmi: Mi chiamo Maria Rossi e ne ho 19.	divergent			
FP	Non abbiamo piu nessun contate con lei .	wrong	Non abbiamo più nessun contatto con lei .	fully			
			Non abbiamo più nessuna contata con lui .	divergent			
			Non abbiamo piu nessuna contatto con lei .	divergent			
			Non abbiamo più nessun contatto con lei .	divergent			
			Non abbiamo più nessun contatto con lei .	fully			
FP	Spero di avere presto tue notizie .	wrong	Spero di avere presto le tue notizie .	divergent			
			Spero di avere tuoi notizie presto.	divergent			
			Spero di ricevere presto tue notizie .	divergent			
			Spero di avere notizie tue presto.	divergent			
FP	Città X , 18 / 6 / 2011 Cara Beatrice , Caro Stefano , Che sorpresa !	miscl. in multiged	Città X , 18 / 6 / 2011 Cara Beatrice , Caro Stefano , Che sorpresa !	fully			
			Città X , 18 / 6 / 2011 Cara Beatrice , Caro Stefano , Che sorpresa !	fully			
			Città X , 18 / 6 / 2011 Carissima Beatrice , Carissimo Stefano , Che sorpresa !	divergent			
			Città X , 18 / 6 / 2011 Cara Beatrice , Caro Stefano , Pieno piacere !	divergent			
			Città X , 18 / 6 / 2011 Cara Beatrice , Caro Stefano , Grande sorpresa !	divergent			
FP	Ho lavorato come ragazza alla pare per imperare l' italiano .	wrong	Ho lavorato come babysittrice per imparare l'italiano .	divergent			
			Ho lavorato come au pair per imparare l'italiano .	divergent			
			Ho lavorato come baby sittora per imparare l'italiano .	divergent			
			Ho lavorato come baby-sitter per imparare l'italiano .	divergent			
FP	Ho sentito dire , che la Loro società é molto piacevole per i lavoratori e da tanta sodisfazione del lavoro .	miscl. in multiged	Ho sentito dire che la loro società è molto piacevole per i lavoratori e da tanta soddisfazione del lavoro.	divergent			
			Ho sentito dire che la loro società é molto piacevole per i lavoratori e da tanta soddisfazione del lavoro.	divergent			
			Ho sentito dire che la loro società è molto piacevole per i lavoratori e da tanta soddisfazione al lavoro.	divergent			
			Ho sentito dire che la loro società è molto piacevole per i lavoratori e dal grande senso di soddisfazione.	divergent			
			Ho sentito dire che la loro società è molto piacevole per i lavoratori e da una grande soddisfazione.	divergent			
FP	Conosco bene l' informatica e la dattilografia e parlo e scrivo correttamente in tedesco e in italiano .	wrong	Conosco bene l'informatica e la dattilografia e parlo e scrivo correttamente in tedesco e italiano .	fully			
			Conosco bene l'informatica e la dattilografia e parlo e scrivo correttamente in tedesco e italiano .	fully			
