filename	token	col1	col2	col3	col4	col5	col6	col7	col8	gold_label	predictions
2019_ABu_241_1.ann	Science									c	c
2019_ABu_241_1.ann	courses									c	c
2019_ABu_241_1.ann	were									c	c
2019_ABu_241_1.ann	not									c	c
2019_ABu_241_1.ann	that									c	c
2019_ABu_241_1.ann	popular									c	c
2019_ABu_241_1.ann	in	Prepositions	with							i	c
2019_ABu_241_1.ann	40									c	c
2019_ABu_241_1.ann	years									c	c
2019_ABu_241_1.ann	and									c	c
2019_ABu_241_1.ann	above									c	i
2019_ABu_241_1.ann	group	Absence_explanation	age group							i	i
2019_ABu_241_1.ann	as	Word_order	26-40-year-olds group did not like art courses as well							c	c
2019_ABu_241_1.ann	well	Word_order	26-40-year-olds group did not like art courses as well							i	c
2019_ABu_241_1.ann	as	Redundant_comp		Word_order	26-40-year-olds group did not like art courses as well					i	c
2019_ABu_241_1.ann	26	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i	c
2019_ABu_241_1.ann	to	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i	c
2019_ABu_241_1.ann	40	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i	c
2019_ABu_241_1.ann	year	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i	i
2019_ABu_241_1.ann	olds	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i	c
2019_ABu_241_1.ann	group	Word_order	26-40-year-olds group did not like art courses as well							i	c
2019_ABu_241_1.ann	did	Word_order	26-40-year-olds group did not like art courses as well							i	c
2019_ABu_241_1.ann	not	Word_order	26-40-year-olds group did not like art courses as well							i	c
2019_ABu_241_1.ann	like	Word_order	26-40-year-olds group did not like art courses as well							i	c
2019_ABu_241_1.ann	art	Word_order	26-40-year-olds group did not like art courses as well							i	c
2019_ABu_241_1.ann	courses	Word_order	26-40-year-olds group did not like art courses as well							i	c
2019_ABu_241_1.ann	,									c	i
2019_ABu_241_1.ann	only									c	i
2019_ABu_241_1.ann	25									c	c
2019_ABu_241_1.ann	per									c	c
2019_ABu_241_1.ann	cent									c	c
2019_ABu_241_1.ann	of									c	c
2019_ABu_241_1.ann	them									c	c
2019_ABu_241_1.ann	went									c	c
2019_ABu_241_1.ann	there									c	c
2019_ABu_241_1.ann	.									c	c

2019_ABu_42_2.ann	When									c	c
2019_ABu_42_2.ann	these									c	c
2019_ABu_42_2.ann	situations									c	c
2019_ABu_42_2.ann	happen									c	c
2019_ABu_42_2.ann	in									c	c
2019_ABu_42_2.ann	one									c	c
2019_ABu_42_2.ann	country									c	c
2019_ABu_42_2.ann	,									c	c
2019_ABu_42_2.ann	others									c	c
2019_ABu_42_2.ann	begin	lex_item_choice	try							i	c
2019_ABu_42_2.ann	to									c	c
2019_ABu_42_2.ann	help									c	c
2019_ABu_42_2.ann	one	Ref_device	it							i	c
2019_ABu_42_2.ann	,									c	c
2019_ABu_42_2.ann	to	Verbs	send							c	c
2019_ABu_42_2.ann	send	Verbs	send							i	c
2019_ABu_42_2.ann	the	Articles	first aid							c	c
2019_ABu_42_2.ann	first	Articles	first aid							c	c
2019_ABu_42_2.ann	aid	Articles	first aid							c	c
2019_ABu_42_2.ann	,									c	c
2019_ABu_42_2.ann	for									c	c
2019_ABu_42_2.ann	example									c	c
2019_ABu_42_2.ann	,									c	c
2019_ABu_42_2.ann	because									c	c
2019_ABu_42_2.ann	one	Ref_device	one country							c	c
2019_ABu_42_2.ann	can									i	c
2019_ABu_42_2.ann	not									c	c
2019_ABu_42_2.ann	fix									c	c
2019_ABu_42_2.ann	the									c	c
2019_ABu_42_2.ann	situation									c	c
2019_ABu_42_2.ann	itself									c	c
2019_ABu_42_2.ann	.									c	c

2019_ABu_42_2.ann	To									c	c
2019_ABu_42_2.ann	sum									c	c
2019_ABu_42_2.ann	up									c	c
2019_ABu_42_2.ann	,									c	c
2019_ABu_42_2.ann	I									c	c
2019_ABu_42_2.ann	would									c	c
2019_ABu_42_2.ann	like									c	c
2019_ABu_42_2.ann	to									c	c
2019_ABu_42_2.ann	say									c	c
2019_ABu_42_2.ann	that									c	c
2019_ABu_42_2.ann	,	Punctuation								c	c
2019_ABu_42_2.ann	in									c	c
2019_ABu_42_2.ann	general									c	c
2019_ABu_42_2.ann	,									c	c
2019_ABu_42_2.ann	governments									c	c
2019_ABu_42_2.ann	should									c	c
2019_ABu_42_2.ann	focus									c	c
2019_ABu_42_2.ann	on									c	c
2019_ABu_42_2.ann	their									c	c
2019_ABu_42_2.ann	countries									c	c
2019_ABu_42_2.ann	,									c	c
2019_ABu_42_2.ann	but									c	c
2019_ABu_42_2.ann	there									c	c
2019_ABu_42_2.ann	are									c	c
2019_ABu_42_2.ann	such									c	c
2019_ABu_42_2.ann	cases									c	c
2019_ABu_42_2.ann	when									c	c
2019_ABu_42_2.ann	it									c	c
2019_ABu_42_2.ann	very	Absence_comp_sent	is very necessary							i	i
2019_ABu_42_2.ann	necessary	Absence_comp_sent	is very necessary							c	c
2019_ABu_42_2.ann	to									c	c
2019_ABu_42_2.ann	pay	lex_part_choice	pay attention to							c	c
2019_ABu_42_2.ann	attention	lex_part_choice	pay attention to							i	c
2019_ABu_42_2.ann	on	lex_part_choice	pay attention to							i	i
2019_ABu_42_2.ann	other									c	c
2019_ABu_42_2.ann	nations									c	c
2019_ABu_42_2.ann	and									c	c
