filename	token	col1	col2	col3	col4	col5	col6	col7	col8	gold_label
2019_ABu_241_1.ann	Science									c
2019_ABu_241_1.ann	courses									c
2019_ABu_241_1.ann	were									c
2019_ABu_241_1.ann	not									c
2019_ABu_241_1.ann	that									c
2019_ABu_241_1.ann	popular									c
2019_ABu_241_1.ann	in	Prepositions	with							i
2019_ABu_241_1.ann	40									c
2019_ABu_241_1.ann	years									c
2019_ABu_241_1.ann	and									c
2019_ABu_241_1.ann	above									c
2019_ABu_241_1.ann	group	Absence_explanation	age group							i
2019_ABu_241_1.ann	as	Word_order	26-40-year-olds group did not like art courses as well							c
2019_ABu_241_1.ann	well	Word_order	26-40-year-olds group did not like art courses as well							i
2019_ABu_241_1.ann	as	Redundant_comp		Word_order	26-40-year-olds group did not like art courses as well					i
2019_ABu_241_1.ann	26	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i
2019_ABu_241_1.ann	to	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i
2019_ABu_241_1.ann	40	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i
2019_ABu_241_1.ann	year	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i
2019_ABu_241_1.ann	olds	Spelling	26-40-year-olds	Word_order	26-40-year-olds group did not like art courses as well					i
2019_ABu_241_1.ann	group	Word_order	26-40-year-olds group did not like art courses as well							i
2019_ABu_241_1.ann	did	Word_order	26-40-year-olds group did not like art courses as well							i
2019_ABu_241_1.ann	not	Word_order	26-40-year-olds group did not like art courses as well							i
2019_ABu_241_1.ann	like	Word_order	26-40-year-olds group did not like art courses as well							i
2019_ABu_241_1.ann	art	Word_order	26-40-year-olds group did not like art courses as well							i
2019_ABu_241_1.ann	courses	Word_order	26-40-year-olds group did not like art courses as well							i
2019_ABu_241_1.ann	,									c
2019_ABu_241_1.ann	only									c
2019_ABu_241_1.ann	25									c
2019_ABu_241_1.ann	per									c
2019_ABu_241_1.ann	cent									c
2019_ABu_241_1.ann	of									c
2019_ABu_241_1.ann	them									c
2019_ABu_241_1.ann	went									c
2019_ABu_241_1.ann	there									c
2019_ABu_241_1.ann	.									c

2019_ABu_42_2.ann	When									c
2019_ABu_42_2.ann	these									c
2019_ABu_42_2.ann	situations									c
2019_ABu_42_2.ann	happen									c
2019_ABu_42_2.ann	in									c
2019_ABu_42_2.ann	one									c
2019_ABu_42_2.ann	country									c
2019_ABu_42_2.ann	,									c
2019_ABu_42_2.ann	others									c
2019_ABu_42_2.ann	begin	lex_item_choice	try							i
2019_ABu_42_2.ann	to									c
2019_ABu_42_2.ann	help									c
2019_ABu_42_2.ann	one	Ref_device	it							i
2019_ABu_42_2.ann	,									c
2019_ABu_42_2.ann	to	Verbs	send							c
2019_ABu_42_2.ann	send	Verbs	send							i
2019_ABu_42_2.ann	the	Articles	first aid							c
2019_ABu_42_2.ann	first	Articles	first aid							c
