error_type	sentence	model prediction	generated sentences	generated sentences evaluation				
G_Art	Da due anni che sto imparando inglese .	wrong	Da due anni sto imparando inglese .	partially -		104	172	36
			Da due anni ho imparato inglese .	divergent		12		
			Da due anni sto imparando l'inglese .	fully		20		
			Da due anni imparo inglese .	divergent		10		
G_Art	Dopo 15 ottobre sono costretta di andare dalla mia sorella Maria ( Maria è malata ) .	wrong	Dopo 15 ottobre sono costretta a andare dalla mia sorella Maria (Maria è malata).	partially -		19		
			Dopo 15 ottobre sono costretta di andare dalla mia sorella (Maria è malata).	divergent		7		
			Dopo 15 ottobre sono costretta dal andare dalla mia sorella Maria (Maria è malata).	divergent				
			Dopo 15 ottobre sono costretta a andare da mia sorella Maria (Maria è malata).	partially +				
			Dopo 15 ottobre sono costretta a andare dalla sorella Maria (Maria è malata).	partially -				
G_Art	Mia figlia ha comminciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	wrong	Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	no modification				
			Mia figlia ha cominciato a giocare al tennis e adesso lui andiamo a giocare insieme ogni lunedì .	divergent				
			Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme un lunedì .	divergent				
			Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	no modification				
			Mia figlia ha cominciato a giocare al tennis e adesso andiamo a giocare insieme ogni lunedì .	no modification				
G_Art	perchè non parli un po' di matrimonio quando telefoni con me ?	grammatical	perché non parli un po' di matrimonio quando telefoni con me	introducing error				
			perché non parli un po' di matrimonio quando chiami con me	divergent				
			perché non parli un po' di matrimonio quando parli con me	divergent				
			perché non parli un po' di matrimonio quando mi telefoni	partially +				
			perché non parli un po' di matrimonio quando mi chiami	divergent				
G_Art	Mio suocero ha una casa in quale siamo stati per una settimana .	wrong	Mio suocero ha una casa dove siamo stati per una settimana .	fully				
			Mio suocero ha una casa in cui siamo stati per una settimana .	fully				
			Mio suocero ha una casa a cui siamo stati per una settimana .	divergent				
			Mio suocero ha una casa nella quale siamo stati per una settimana .	fully				
			Mio suocero ha una casa dove siamo rimasti per una settimana .	divergent				
G_Art	E come stanno tua sorella e tuoi genitori ?	wrong	E come stanno tua sorella e i tuoi genitori ?	fully				
			E come stanno tua sorella e tuoi genitori?	no modification				
			E come stanno tua sorella e i tuoi genitori	fully				
			E come sta tua sorella e tuoi genitori?	divergent				
			E come stanno tua sorella e tuoi genitori?	no modification				
G_Art	Ancora volta mi dispiace , ma non è mia colpa , Mio capo ha organizzato una runione giovedi pomeriggio e per questo dobbiamo cambiare nostro appuntamento .	wrong	Ancora volta mi dispiace, ma non è mia colpa, Mio capo ha organizzato una riunione giovedì pomeriggio e per questo dobbiamo cambiare nostro appuntamento.	no modification				
