filename	learner	TH1	TH1Diff	TH2	TH2Diff	markable_scheme	gold_label
1385_0000013.exb	Puoi	Puoi					c
1385_0000013.exb	dirmi	dirmi					c
1385_0000013.exb	dove	dove					c
1385_0000013.exb	lavori	lavori					c
1385_0000013.exb	adesso	adesso					c
1385_0000013.exb	e	e					c
1385_0000013.exb	che	che					c
1385_0000013.exb	tipo	tipo					c
1385_0000013.exb	di	di					c
1385_0000013.exb	lavoro	lavoro					c
1385_0000013.exb	ti	ti					c
1385_0000013.exb	piaccerebbe	piacerebbe	CHA			O_Graph	i
1385_0000013.exb	?	?					c
							
1395_0001067.exb	Tutti	Tutti		Tutti			c
1395_0001067.exb	della	nella	CHA	nella	CHA	G_Prep	i
1395_0001067.exb	mia	mia		mia			c
1395_0001067.exb	famiglia	famiglia		famiglia			c
1395_0001067.exb	stanno	stanno		stanno			c
1395_0001067.exb	benissimo	benissimo		benissimo			c
1395_0001067.exb	.	.		.			c
							
1385_0000123.exb	Vorrei	Vorrei					c
1385_0000123.exb	aiutarti	aiutarti					c
1385_0000123.exb	,	,					c
1385_0000123.exb	ma	ma					c
1385_0000123.exb	ho	ho					c
1385_0000123.exb	bisogno	bisogno					c
1385_0000123.exb	di	di					c
1385_0000123.exb	qualche	qualche					c
1385_0000123.exb	informazione	informazione					c
1385_0000123.exb	in	in					c
1385_0000123.exb	più	più					c
1385_0000123.exb	.	.					c
							
1385_0001161.exb	Vorrei	Vorrei					c
1385_0001161.exb	aiutarti	aiutarti					c
1385_0001161.exb	,	,					c
1385_0001161.exb	ma	ma					c
1385_0001161.exb	ho	ho					c
1385_0001161.exb	bisogno	bisogno					c
1385_0001161.exb	di	di					c
1385_0001161.exb	qualche	qualche					c
1385_0001161.exb	informazione	informazione					c
1385_0001161.exb	in	in					c
1385_0001161.exb	più	più					c
1385_0001161.exb	.	.					c
							
1385_0000043.exb	Vorrei	Vorrei					c
1385_0000043.exb	aiutarti	aiutarti					c
1385_0000043.exb	,	,					c
1385_0000043.exb	ma	ma					c
1385_0000043.exb	ho	ho					c
1385_0000043.exb	bisogno	bisogno					c
1385_0000043.exb	di	di					c
1385_0000043.exb	qualche	qualche					c
1385_0000043.exb	informazione	informazione					c
1385_0000043.exb	in	in					c
1385_0000043.exb	più	più					c
1385_0000043.exb	.	.					c
							
1385_0000038.exb	Vorrei	Vorrei					c
1385_0000038.exb	aiutarti	aiutarti					c
1385_0000038.exb	,	,					c
1385_0000038.exb	ma	ma					c
1385_0000038.exb	ho	ho					c
1385_0000038.exb	bisogno	bisogno					c
1385_0000038.exb	di	di					c
1385_0000038.exb	qualche	qualche					c
1385_0000038.exb	informazione	informazione					c
1385_0000038.exb	in	in					c
1385_0000038.exb	più	più					c
1385_0000038.exb	.	.					c
							
1385_0001155.exb	Puoi	Puoi					c
1385_0001155.exb	dirmi	dirmi					c
1385_0001155.exb	dove	dove					c
1385_0001155.exb	lavori	lavori					c
1385_0001155.exb	adesso	adesso					c
1385_0001155.exb	?	?					c
							
1325_1001126.exb	Marco	Marco					c
1325_1001126.exb	Ponti	Ponti					c
1325_1001126.exb	via	via					c
1325_1001126.exb	Ponte	Ponte					c
