error_type	sentence		generated sentences	eval generation		
FP	Dear Principal , First of all , we would like to thank you for good programme which provides us 3 days stay in London .	wrong	Dear Principal, First of all, we would like to thank you for the good programme which provides us with a 3-day stay in London.	fully		145
			Dear Principal, First of all, we would like to thank you for the good programme that provides us with a 3-day stay in London.	fully		4
			Dear Principal, First of all, we would like to thank you for the good programme providing us with a 3-day stay in London.	divergent		74
			Dear principal, first of all, we would like to thank you for the good programme which provides us with a 3-day stay in london.	introducing error		18
			Dear principal, first of all, we would like to thank you for the good program which provides us with a 3-day stay in london.	introducing error		6
FP	However , we have found an advertisement for the London Fashion and Leisure show , which will be held at Central Exhibition Hall on 14th of March .	miscl. in multi	However, we have found an advertisement for the London Fashion and Leisure show, which will be held at Central Exhibition Hall on March 14th.	fully		
			However, we have found an advertisement for the London Fashion and Leisure Show, which will be held at the Central Exhibition Hall on 14th of March.	no modification		
			However, we have found an advertisement for the London Fashion and Leisure Show, which will be held at the Central Exhibition Hall on March 14th.	fully		
			However, we have found an ad for the London Fashion and Leisure show, which will be held at Central Exhibition Hall on March 14th.	divergent		
			However, we have found an ad for the London Fashion and Leisure show, which will be held at the Central Exhibition Hall on March 14th.	divergent		
FP	50 years ago , Korean mothers should have made a fire by burning woods to warm a room up and make food .	wrong	50 years ago, Korean mothers should have made a fire by burning wood to warm a room up and cook food.	fully		
			50 years ago, Korean mothers should have made a fire by burning woods to warm the room up and make food.	divergent		
			50 years ago, Korean mothers should have made a fire by burning wood to warm the room up and make food.	divergent		
			50 years ago, Korean mothers should have made a fire by burning woods to warm a room up and cook food.	divergent		
			50 years ago, Korean mothers should have made a fire by burning wood to keep a room warm and make food.	divergent		
FP	He / she can just press the button or send e - mail to operate what he / she needs , even though the owner is far from the house .	wrong	He she can just press the button or send email to operate what he she needs even though the owner is far from the house	introducing error		
			He can just press the button or send email to operate what he needs even though the owner is far from the house	divergent		
			He/she can just press the button or send e-mail to operate what he/she needs even though the owner is far from the house	introducing error		
			He/she can just press the button or send e-mail to operate what he/she needs even though the owner is near the house	divergent		
			He/she can just press the button or send email to operate what he/she needs even though the owner is near the house	divergent		
FP	Please let me know if you are agree with us !	miscl. in multi	Please let me know if you agree with us.	fully		
			Please let me know if you are agreed with us.	divergent		
			Please let me know if you are in agreement with us.	divergent		
			Please let me know if you are agree upon us.	divergent		
			Please let me know if you are agrees with us.	divergent		
FP	However , our class has spotted an advertisement for the London Fashion and Leisure Show and would all wish to attend .	plausible	However, our class has spotted an advertisement for the London Fashion and Leisure Show and would all like to attend.	no modification		
			However, our class has spotted an advertisement for the London Fashion and Leisure Show and would wish to attend.	divergent		
			However, our class has spotted an ad for the London Fashion and Leisure Show and would all like to attend.	divergent		
			However, our class has spotted an ad for the London Fashion and Leisure Show and would all like to attend.	divergent		
			However, our class has spotted an advertisement for the London Fashion and Leisure Show and would like to attend.	fully		
FP	This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and style we might also get a change to meet new people and interest with them .	wrong	This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and styles.	divergent		
			We might also get the chance to meet new people and share our interests with them.	divergent		
			This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and styles. We might also get a chance to meet new people and discuss our interests with them.	divergent		
			This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and styles. We might also get a chance to meet new people and learn about their interests.	divergent		
			This will be a great opportunity for us because we will be able to find out more about the people of London and their fashions and styles. We might also have the chance to meet new people and engage with them.	fully		
FP	We might not need maids to do housework anymore as they can easily be replaced with a robot , a machine , or something other with the same purpose .	plausible	We might not need maids to do housework anymore as they can easily be replaced with a robot, a machine, or something else with the same purpose.	fully		
			We might not need maids to do housework anymore as they can be easily replaced with a robot, a machine, or something else with the same purpose.	fully		
			We might not need maids to do housework anymore as they can easily be replaced with a robot, a machine, or something similar with the same purpose.	divergent		
			We might not need maids to do housework anymore as they can easily be replaced by a robot, a machine, or something else with the same purpose.	fully		
			We might not need maids to do housework anymore as they can easily be replaced with robots, machines, or something else with the same purpose.	divergent		
FP	The biggest commercial gain in history I believe , but celebrities are not animals although they may be sometimes treated the same way .	wrong	The biggest commercial gain in history, I believe, but celebrities are not animals, although they may be treated the same way sometimes.	fully		
			The biggest commercial gain in history, I believe, but celebrities are not animals although they may be sometimes treated the same way.	fully		
			The biggest commercial gain in history, I believe but celebrities are not animals although they may be sometimes treated the same way.	fully		
			The biggest commercial gain in history, I believe but celebrities are not animals although they may be treated the same way sometimes.	fully		
			The biggest commercial gain in history, I believe; but celebrities are not animals although they may be sometimes treated the same way.	divergent		
FP	To sum up , I believe that everyone has the right to keep privacy of their own homes and even someone extremely famous deserve to have a private life .	wrong	To sum up, I believe that everyone has the right to keep the privacy of their own homes and even someone extremely famous deserves to have a private life.	fully		
			To sum up, I believe that everyone has the right to maintain the privacy of their own homes and even someone extremely famous deserves to have a private life.	divergent		
			To sum up, I believe that everyone has the right to preserve the privacy of their own homes and even someone extremely famous deserves to have a private life.	divergent		
			To sum up, I believe that everyone has the right to protect the privacy of their own homes and even someone extremely famous deserves to have a private life.	divergent		
			To sum up, I believe that everyone has the right to maintain their own home's privacy and even someone extremely famous deserves to have a private life.	divergent		
