error_type	sentence	model prediction	generated sentences	generated sentences eval			count genereted senteces		count original
AGV	Fortunately today everyone can take an aeroplane and go to America , Australia or wherever else he wants !	wrong	Fortunately today everyone can take an aeroplane and go to America and Australia or wherever else he wants!	divergent	31	divergent	60		13
			Fortunately today everyone can take a plane and go to America , Australia or wherever else he wants !	divergent	1	no modification			
			Fortunately today everyone can take an aeroplane and go to America , Australia and wherever else he wants !	divergent	2	fully			
			Fortunately today everyone can take an aeroplane and go to America , Australia or where else he wants !	introducing error	19	partially +			
			Fortunately today everyone can take an aeroplane and go to America , Australia or wherever he wants !	divergent	0	partially -			
AGV	Secondly , I would like to give you more details about the show and particularly what does it include .	wrong	Secondly, I would like to give you more details about the show and particularly what it includes.	fully	7	introducing error			
			Secondly, I would like to give you more details about the show and especially what does it include.	divergent					
			Secondly, I would like to give you more details about the show and especially what it includes.	partially +					
			Secondly, I would like to give you more details about the show and particularly what it is.	divergent					
			Secondly, I would like to give you more details about the show and what it includes.	partially +					
AGV	Moreover there was no discount ticket .	grammatical	Moreover there was no discount ticket	partially +					
			Moreover there were no discount tickets	partially +					
			There was no discount ticket	divergent					
			No discount ticket	introducing error					
			Moreover no discount ticket	introducing error					
AGV	For the fashion of the future , I think it depends on the people 's own personalities and develope their own styles which suits them the most .	wrong	For the fashion of the future, I think it depends on people's own personalities and developing their own styles which suit them the most.	partially +					
			For the fashion of the future, I think it depends on people's own personalities and developing their own styles that suit them the most.	partially +					
			For the fashion of the future, I think it depends on people's own personalities and developing their own styles for them the most.	divergent					
			For the fashion of the future, I think it depends on people's own personalities and developing their own styles which they find the most suitable.	divergent					
			For the fashion of the future, I think it depends on people's own personalities and developing their own styles that they find the most suitable.	divergent					
AGV	I am not telling about some kind of achivements in those discipines but It is my big pasion	grammatical	I am not telling about some kinds of achievements in those disciplines but it is my big passion	introducing error					
			I am not telling about any kind of achievements in those disciplines but it is my big passion	divergent					
			I am not telling about some kind of achievements in those disciplines but it is my big passion	fully					
			I am not telling about some kind of achievements in those disciplines but that is my big passion	divergent					
			I am not telling about some kind of achievements in those disciplines but it is a big passion	partially +					
AGV	I start thinking what she or he prefer and I try my best buying something apropiate does n't matter how much money does it cost .	wrong	I start thinking what she or he prefers and I try my best to buy something appropriate. Does it matter how much money it costs?	divergent					
			I start thinking about what she or he prefers and I try my best to buy something appropriate. Does it matter how much money it costs?	partially +					
			I start thinking what she or he prefers and I try my best buying something appropriate does n't matter how much money it costs.	partially +					
			I start thinking what she or he prefers and I try my best buying something appropriate does n't matter how much it costs.	partially +					
			I start thinking what she or he prefers and I try my best to buy something appropriate. Does n't matter how much money it costs.	divergent					
AGV	The rooms and size should remain as it was and the living rooms and all may still be decorated in the same style .	wrong	The rooms and size should remain as it was. And the living rooms and all may still be decorated in the same style.	introducing error					
			The rooms and their size should remain as they were. And the living rooms and all may still be decorated in the same style.	introducing error					
			The rooms and their size should remain as it was. And the living rooms and all may still be decorated in the same style.	partially +					
			The rooms and size should remain as it was. The living rooms and all may still be decorated in the same style.	partially +					
			The rooms and size should remain as they were. And the living rooms and all may still be decorated in the same style.	divergent					
